id;isbn;title;authors;language;avg-rating
156;031232118X;Something Borrowed (Darcy & Rachel, #1);Emily Giffin;eng;3.83
157;394800168;Green Eggs and Ham;Dr. Seuss, לאה נאור;en-US;4.29
158;142403881;Charlie and the Chocolate Factory (Charlie Bucket, #1);Roald Dahl, Quentin Blake;eng;4.1
159;1423101464;The Battle of the Labyrinth (Percy Jackson and the Olympians, #4);Rick Riordan;eng;4.39
160;192833596;Great Expectations;Charles Dickens;eng;3.75
161;345339738;The Return of the King (The Lord of the Rings, #3);J.R.R. Tolkien;en-US;4.51
162;;The Stranger;Albert Camus, Matthew    Ward;eng;3.96
163;142311339X;The Lost Hero (The Heroes of Olympus, #1);Rick Riordan;eng;4.35
164;1250012570;Eleanor & Park;Rainbow Rowell;eng;4.11
165;055358202X;A Feast for Crows (A Song of Ice and Fire, #4);George R.R. Martin;en-US;4.1
166;525423648;Matched (Matched, #1);Ally Condie;eng;3.68
167;747263744;American Gods (American Gods, #1);Neil Gaiman;eng;4.11
168;385199570;The Stand;Stephen King, Bernie Wrightson;en-US;4.34
169;446547565;The Last Song;Nicholas Sparks;en-GB;4.14
170;552151696;Digital Fortress;Dan Brown;en-GB;3.6
171;141439580;Emma;Jane Austen, Fiona Stafford;eng;3.99
172;345803922;Anna Karenina;Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude;eng;4.02
173;393312836;A Clockwork Orange;Anthony Burgess;eng;3.98
174;964729237;The Shack;William Paul Young;eng;3.74
175;739380338;The Last Olympian (Percy Jackson and the Olympians, #5);Rick Riordan;eng;4.5
176;451169514;It;Stephen King;en-US;4.18
177;143058142;Crime and Punishment;Fyodor Dostoyevsky, David McDuff;eng;4.18
178;61148512;The Bell Jar;Sylvia Plath;en-US;3.98
179;7205236;Angela's Ashes (Frank McCourt, #1);Frank McCourt;eng;4.07
180;553208845;Siddhartha;Hermann Hesse, Hilda Rosner;eng;3.99
181;679745580;In Cold Blood;Truman Capote;eng;4.05
182;316042676;Beautiful Creatures (Caster Chronicles, #1);Kami Garcia, Margaret Stohl;eng;3.76
183;1416975861;Clockwork Angel (The Infernal Devices, #1);Cassandra Clare;eng;4.33
184;141301066;Matilda;Roald Dahl, Quentin Blake;eng;4.29
185;385534639;The Night Circus;Erin Morgenstern;eng;4.03
186;743227441;The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9);Philippa Gregory;eng;4.04
187;689865384;Uglies (Uglies, #1);Scott Westerfeld;eng;3.86
188;;A Dance with Dragons (A Song of Ice and Fire, #5);George R.R. Martin;eng;4.31
189;618640150;The Lord of the Rings (The Lord of the Rings, #1-3);J.R.R. Tolkien;eng;4.47
190;307592731;Wild: From Lost to Found on the Pacific Crest Trail;Cheryl Strayed;eng;3.96
191;930289234;Watchmen;Alan Moore, Dave Gibbons, John Higgins;en-US;4.35
192;075640407X;The Name of the Wind (The Kingkiller Chronicle, #1);Patrick Rothfuss;eng;4.55
193;316017922;Outliers: The Story of Success;Malcolm Gladwell;en-US;4.11
194;142437247;Moby-Dick or, The Whale;Herman Melville, Andrew Delbanco, Tom Quirk;eng;3.46
195;385340990;The Guernsey Literary and Potato Peel Pie Society;Mary Ann Shaffer, Annie Barrows;eng;4.12
196;393327345;Fight Club;Chuck Palahniuk;eng;4.2
197;441008534;Dead Until Dark (Sookie Stackhouse, #1);Charlaine Harris;en-US;3.96
198;671727796;The Color Purple;Alice Walker;eng;4.17
199;739461192;Marley and Me: Life and Love With the World's Worst Dog;John Grogan;eng;4.12
200;312330871;And Then There Were None;Agatha Christie;eng;4.23
201;385504225;The Lost Symbol (Robert Langdon, #3);Dan Brown;eng;3.66
202;1416989412;Hush, Hush (Hush, Hush, #1);Becca Fitzpatrick;en-US;4.0
203;;Beautiful Disaster (Beautiful, #1);Jamie McGuire;eng;4.15
204;1561797464;A Christmas Carol;Charles Dickens;;4.02
205;345476875;Interview with the Vampire (The Vampire Chronicles, #1);Anne Rice;eng;3.97
206;62059939;The Selection (The Selection, #1);Kiera Cass;en-US;4.15
207;312362080;One for the Money (Stephanie Plum, #1);Janet Evanovich;en-US;4.03
208;1400052173;The Immortal Life of Henrietta Lacks;Rebecca Skloot;eng;4.04
209;99446782;The Silence of the Lambs  (Hannibal Lecter, #2);Thomas Harris;eng;4.14
210;159514174X;Vampire Academy (Vampire Academy, #1);Richelle Mead;en-US;4.14
211;316010669;Blink: The Power of Thinking Without Thinking;Malcolm Gladwell;en-US;3.89
212;038572179X;Atonement;Ian McEwan;eng;3.88
213;553213695;The Metamorphosis;Franz Kafka, Stanley Corngold;eng;3.78
214;141382899;The Titan's Curse (Percy Jackson and the Olympians, #3);Rick Riordan;eng;4.33
215;030788743X;Ready Player One;Ernest Cline;eng;4.31
216;1554681723;The Art of Racing in the Rain;Garth Stein;eng;4.19
217;739303406;The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America;Erik Larson, Tony Goldwyn;eng;3.98
218;425263908;Bared to You (Crossfire, #1);Sylvia Day;eng;4.19
219;66238501;The Chronicles of Narnia (Chronicles of Narnia, #1-7);C.S. Lewis, Pauline Baynes;eng;4.24
220;316043133;Twilight: The Complete Illustrated Movie Companion;Mark Cotta Vaz;en-US;4.23
221;1558743669;A Child Called "It" (Dave Pelzer #1);Dave Pelzer;eng;4.08
222;752864327;The Bourne Identity (Jason Bourne, #1);Robert Ludlum;eng;3.98
223;786817879;Artemis Fowl (Artemis Fowl, #1);Eoin Colfer;eng;3.82
224;385738935;Fallen (Fallen, #1);Lauren Kate;en-US;3.74
225;142000655;East of Eden;John Steinbeck;eng;4.35
226;307341569;Dark Places;Gillian Flynn;eng;3.92
227;385339089;The Client;John Grisham;eng;3.97
228;312291639;The Nanny Diaries (Nanny, #1);Emma McLaughlin, Nicola Kraus;eng;3.4
229;451527747;Alice's Adventures in Wonderland & Through the Looking-Glass;Lewis Carroll, John Tenniel, Martin Gardner;eng;4.06
230;192802631;Persuasion;Jane Austen, James Kinsley, Deidre Shauna Lynch;eng;4.13
231;312370830;Sarah's Key;Tatiana de Rosnay;eng;4.14
232;452284694;The Gunslinger (The Dark Tower, #1);Stephen King;en-US;3.99
233;140003468X;Love in the Time of Cholera;Gabriel García Márquez, Edith Grossman;eng;3.89
234;014131088X;Speak;Laurie Halse Anderson;eng;4.0
235;399159347;The Husband's Secret;Liane Moriarty;eng;3.92
236;385494785;Into Thin Air: A Personal Account of the Mount Everest Disaster;Jon Krakauer;en-US;4.11
237;1416524304;Carrie;Stephen King;;3.93
238;031242227X;Running with Scissors;Augusten Burroughs;en-US;3.7
239;307346609;World War Z: An Oral History of the Zombie War;Max Brooks;en-US;4.01
240;385537859;Inferno (Robert Langdon, #4);Dan Brown;eng;3.8
241;440227534;Number the Stars;Lois Lowry;eng;4.11
242;446692638;Along Came a Spider (Alex Cross, #1);James Patterson;eng;4.08
243;450417395;Misery;Stephen King;en-GB;4.11
244;307341542;Sharp Objects;Gillian Flynn;en-US;3.92
245;439366771;Bridge to Terabithia;Katherine Paterson;eng;3.98
246;312360266;Marked (House of Night, #1);P.C. Cast, Kristin Cast;en-US;3.79
247;743269519;The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;Stephen R. Covey;en-US;4.05
248;743477545;A Midsummer Night's Dream;William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey;eng;3.94
249;618711651;Extremely Loud and Incredibly Close;Jonathan Safran Foer;en-US;3.97
250;375869026;Wonder;R.J. Palacio;eng;4.43
251;039480001X;The Cat in the Hat;Dr. Seuss;eng;4.15
252;312641893;Cinder (The Lunar Chronicles, #1);Marissa Meyer;eng;4.15
253;316206849;The Cuckoo's Calling (Cormoran Strike, #1);Robert Galbraith, J.K. Rowling;en-US;3.83
254;545123267;Shiver (The Wolves of Mercy Falls, #1);Maggie Stiefvater;eng;3.78
255;452011876;Atlas Shrugged;Ayn Rand, Leonard Peikoff;eng;3.68
256;143038257;Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time;Greg Mortenson, David Oliver Relin;en-US;3.64
257;517223627;Alice in Wonderland;Jane Carruth, Lewis Carroll, Rene Cloke;eng;4.03
258;143034901;The Shadow of the Wind (The Cemetery of Forgotten Books,  #1);Carlos Ruiz Zafón, Lucia Graves;eng;4.24
259;385738757;The Scorch Trials (Maze Runner, #2);James Dashner;eng;3.93
260;;How to Win Friends and Influence People;Dale Carnegie;eng;4.13
261;767900383;Under the Tuscan Sun;Frances Mayes;eng;3.72
262;399167064;Big Little Lies;Liane Moriarty;eng;4.2
263;590920685;Ella Enchanted;Gail Carson Levine;eng;3.97
264;743297334;The Sun Also Rises;Ernest Hemingway;en-US;3.83
265;61120073;A Tree Grows in Brooklyn;Betty  Smith;eng;4.24
266;446677388;Kiss the Girls (Alex Cross, #2);James Patterson;eng;3.93
267;312577222;The Nightingale;Kristin Hannah;eng;4.54
268;1400078776;Never Let Me Go;Kazuo Ishiguro;eng;3.8
269;786890754;P.S. I Love You;Cecelia Ahern;en-US;4.01
270;1844080382;Rebecca;Daphne du Maurier, Sally Beauman;en-US;4.2
271;156030306;Flowers for Algernon;Daniel Keyes;en-US;4.07
272;552995878;Like Water for Chocolate;Laura Esquivel, Thomas  Christensen, Carol Christensen;en-US;3.94
273;812968069;Snow Flower and the Secret Fan;Lisa See;eng;4.05
274;451205766;The Godfather;Mario Puzo, Robert Thompson, Peter Bart;eng;4.36
275;525476881;An Abundance of Katherines;John Green;eng;3.63
276;553803719;Foundation (Foundation #1);Isaac Asimov;eng;4.13
277;62255657;The Ocean at the End of the Lane;Neil Gaiman;eng;3.99
278;60513063;A Light in the Attic;Shel Silverstein;eng;4.34
279;751565350;Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8);John Tiffany, Jack Thorne, J.K. Rowling;eng;3.75
280;61726834;Delirium (Delirium, #1);Lauren Oliver;eng;3.99
281;385339704;The Pelican Brief;John Grisham;eng;3.95
282;61139378;Coraline;Neil Gaiman;eng;4.03
283;60853980;Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch;Terry Pratchett, Neil Gaiman;en-US;4.25
284;140042598;On the Road;Jack Kerouac;eng;3.64
285;1476729085;The Rosie Project (Don Tillman, #1);Graeme Simsion;eng;4.01
286;446579939;The Lucky One;Nicholas Sparks;en-US;4.1
287;451191153;The Fountainhead;Ayn Rand, Leonard Peikoff;eng;3.85
288;425172902;The Hunt for Red October (Jack Ryan Universe, #4);Tom Clancy;;4.01
289;038039586X;Watership Down (Watership Down, #1);Richard Adams;eng;4.05
290;307886263;Is Everyone Hanging Out Without Me? (And Other Concerns);Mindy Kaling;eng;3.84
291;375414495;Cutting for Stone;Abraham Verghese;eng;4.28
292;006112527X;The Voyage of the Dawn Treader (Chronicles of Narnia, #3);C.S. Lewis, Pauline Baynes;eng;4.08
293;753453800;Treasure Island;Robert Louis Stevenson;eng;3.82
294;1423140591;The Son of Neptune (The Heroes of Olympus, #2);Rick Riordan;eng;4.44
295;1451627289;11/22/63;Stephen King;eng;4.29
296;241003008;The Very Hungry Caterpillar Board Book;Eric Carle;eng;4.29
297;140285601;Cat's Cradle;Kurt Vonnegut Jr.;eng;4.18
298;451528557;The Time Machine;H.G. Wells, Greg Bear, Carlo Pagetti;eng;3.87
299;849946158;Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back;Todd Burpo, Lynn Vincent;eng;4.01
300;385751060;The Boy in the Striped Pajamas;John Boyne;eng;4.1
301;1892295490;Heart of Darkness;Joseph Conrad;eng;3.42
302;044654759X;Safe Haven;Nicholas Sparks;eng;4.19
303;1582701709;The Secret (The Secret, #1);Rhonda Byrne;eng;3.62
304;60987561;I Know This Much Is True;Wally Lamb;eng;4.17
305;1416524347;Pet Sematary;Stephen King;eng;3.91
306;671021001;She's Come Undone;Wally Lamb;en-US;3.84
307;756404738;The Wise Man's Fear (The Kingkiller Chronicle, #2);Patrick Rothfuss;eng;4.57
308;440241901;Can You Keep a Secret?;Sophie Kinsella;en-US;3.83
309;1442403543;City of Fallen Angels (The Mortal Instruments, #4);Cassandra Clare;en-US;4.16
310;743418174;Good in Bed (Cannie Shapiro, #1);Jennifer Weiner;en-US;3.7
311;380018179;The Thorn Birds;Colleen McCullough;eng;4.22
312;60530928;The Graveyard Book;Neil Gaiman, Dave McKean;en-US;4.12
313;1451681739;The Light Between Oceans;M.L. Stedman;eng;4.0
314;439709105;Inkheart (Inkworld, #1);Cornelia Funke, Anthea Bell;en-US;3.86
315;91883768;Who Moved My Cheese?;Spencer Johnson, Kenneth H. Blanchard;eng;3.74
316;307279464;A Walk in the Woods;Bill Bryson;eng;4.05
317;553279378;I Know Why the Caged Bird Sings;Maya Angelou;en-US;4.19
318;61950726;Orphan Train;Christina Baker Kline;eng;4.14
319;1442416866;City of Lost Souls (The Mortal Instruments, #5);Cassandra Clare;eng;4.3
320;316204277;Where'd You Go, Bernadette;Maria Semple;eng;3.9
321;375806814;Where the Red Fern Grows;Wilson Rawls;;4.04
322;60557818;Neverwhere;Neil Gaiman;eng;4.18
323;571224385;The Unbearable Lightness of Being;Milan Kundera, Michael Henry Heim;eng;4.08
324;;Fangirl;Rainbow Rowell;eng;4.12
325;552135399;A Prayer for Owen Meany;John Irving;eng;4.22
326;316182540;White Oleander;Janet Fitch;eng;3.93
327;039925675X;Legend (Legend, #1);Marie Lu;eng;4.19
328;743496728;Nineteen Minutes;Jodi Picoult;eng;4.1
329;1401323251;The Last Lecture;Randy Pausch, Jeffrey Zaslow;eng;4.25
330;812511816;The Eye of the World (Wheel of Time, #1);Robert Jordan;eng;4.18
331;61150142;The Pact;Jodi Picoult;en-US;4.0
332;60764902;The Magician's Nephew (Chronicles of Narnia, #6);C.S. Lewis;eng;4.01
333;595440096;Still Alice;Lisa Genova;eng;4.3
334;425263916;Reflected in You (Crossfire, #2);Sylvia Day;eng;4.33
335;375814248;James and the Giant Peach;Roald Dahl, Quentin Blake;eng;3.99
336;446696617;1st to Die (Women's Murder Club, #1);James Patterson;en-US;4.05
337;345453743;The Ultimate Hitchhiker's Guide to the Galaxy;Douglas Adams;eng;4.37
338;340896965;One Day;David Nicholls;eng;3.77
339;60775858;Goodnight Moon;Margaret Wise Brown, Clement Hurd;en-US;4.27
340;61969559;I Am Number Four (Lorien Legacies, #1);Pittacus Lore;en-US;3.94
341;140275363;The Iliad;Homer, Robert Fagles, Frédéric Mugler, Bernard Knox;eng;3.83
342;316228532;The Casual Vacancy;J.K. Rowling;eng;3.28
343;385339690;The Runaway Jury;John Grisham;eng;3.96
344;316777730;Naked;David Sedaris;en-US;4.08
345;375840400;Eldest (The Inheritance Cycle, #2);Christopher Paolini;en-US;3.96
346;140621679;The Wonderful Wizard of Oz (Oz, #1);L. Frank Baum, W.W. Denslow;eng;3.98
347;000720230X;Prince Caspian (Chronicles of Narnia, #2);C.S. Lewis;eng;3.96
348;;We Were Liars;E. Lockhart;eng;3.85
349;450031063;'Salem's Lot;Stephen King;en-GB;3.99
350;679785892;Fear and Loathing in Las Vegas;Hunter S. Thompson, Ralph Steadman;eng;4.08
351;1416975888;Clockwork Prince (The Infernal Devices, #2);Cassandra Clare;eng;4.46
352;62268341;Yes Please;Amy Poehler;eng;3.81
353;743477553;Othello;William Shakespeare;eng;3.88
354;1400033411;Beloved;Toni Morrison;eng;3.77
355;015206396X;Graceling (Graceling Realm, #1);Kristin Cashore;en-CA;4.1
